timestamp_utc,elapsed_seconds,plugin_pending,plugin_decode_seconds,prom_pending,prom_decode_seconds,deployment_desired,deployment_current,deployment_ready,deployment_available,pod_count,pod_phases,hpa_current,hpa_desired,scaledobject_ready,scaledobject_active,registered_worker_count
2026-08-26T18:48:06.979702+00:00,35.349,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,3,3,True,False,3
2026-08-26T18:48:07.251246+00:00,35.621,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,3,3,True,False,3
2026-08-26T18:48:07.521853+00:00,35.893,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,3,3,True,False,3
2026-08-26T18:48:07.793256+00:00,36.163,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,3,3,True,False,3
2026-08-26T18:48:08.064473+00:00,36.435,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,3,3,True,False,3
2026-08-26T18:48:08.333805+00:00,36.706,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,3,3,True,False,3
2026-08-26T18:48:08.606082+00:00,36.975,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:08.880321+00:00,37.248,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:09.150488+00:00,37.522,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:09.421404+00:00,37.792,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:09.692556+00:00,38.063,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:09.962587+00:00,38.334,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:10.234586+00:00,38.604,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:10.506241+00:00,38.876,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:10.775280+00:00,39.148,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:11.048008+00:00,39.417,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:11.319912+00:00,39.69,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:11.591135+00:00,39.962,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:11.868900+00:00,40.233,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:12.139490+00:00,40.511,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:12.410721+00:00,40.781,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:12.683048+00:00,41.052,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:12.956515+00:00,41.325,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:13.227767+00:00,41.598,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:13.500219+00:00,41.869,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
