LAST SEEN   TYPE      REASON                         OBJECT                                              MESSAGE
5m10s       Normal    Created                        pod/statepool-55dbd7c7bc-t4hjh                      Created container: statepool-plugin
5m10s       Normal    SuccessfulCreate               replicaset/statepool-55dbd7c7bc                     Created pod: statepool-55dbd7c7bc-t4hjh
4m54s       Normal    Scheduled                      pod/statepool-worker-58585d67f7-kdxl5               Successfully assigned statepool-keda/statepool-worker-58585d67f7-kdxl5 to statepool-keda-control-plane
4m54s       Normal    SuccessfulCreate               replicaset/statepool-worker-58585d67f7              Created pod: statepool-worker-58585d67f7-kdxl5
4m53s       Normal    Started                        pod/statepool-worker-58585d67f7-kdxl5               Started container worker
4m53s       Normal    Created                        pod/statepool-worker-58585d67f7-kdxl5               Created container: worker
4m53s       Normal    Pulled                         pod/statepool-worker-58585d67f7-kdxl5               Container image "rwkv-statepool-worker-keda-sim:20260827" already present on machine
4m51s       Warning   Unhealthy                      pod/statepool-worker-58585d67f7-kdxl5               Readiness probe failed: Get "http://10.244.0.14:18118/ready": dial tcp 10.244.0.14:18118: connect: connection refused
4m42s       Normal    Created                        pod/statepool-worker-58585d67f7-sdrth               Created container: worker
4m42s       Normal    Scheduled                      pod/statepool-worker-58585d67f7-sdrth               Successfully assigned statepool-keda/statepool-worker-58585d67f7-sdrth to statepool-keda-control-plane
4m42s       Normal    SuccessfulCreate               replicaset/statepool-worker-58585d67f7              Created pod: statepool-worker-58585d67f7-btkfv
4m42s       Normal    Scheduled                      pod/statepool-worker-58585d67f7-btkfv               Successfully assigned statepool-keda/statepool-worker-58585d67f7-btkfv to statepool-keda-control-plane
4m42s       Normal    Pulled                         pod/statepool-worker-58585d67f7-btkfv               Container image "rwkv-statepool-worker-keda-sim:20260827" already present on machine
4m42s       Normal    Created                        pod/statepool-worker-58585d67f7-btkfv               Created container: worker
4m42s       Normal    SuccessfulCreate               replicaset/statepool-worker-58585d67f7              Created pod: statepool-worker-58585d67f7-sdrth
4m42s       Normal    Pulled                         pod/statepool-worker-58585d67f7-sdrth               Container image "rwkv-statepool-worker-keda-sim:20260827" already present on machine
4m41s       Normal    Started                        pod/statepool-worker-58585d67f7-btkfv               Started container worker
4m41s       Normal    Started                        pod/statepool-worker-58585d67f7-sdrth               Started container worker
4m40s       Warning   Unhealthy                      pod/statepool-worker-58585d67f7-sdrth               Readiness probe failed: Get "http://10.244.0.16:18118/ready": dial tcp 10.244.0.16:18118: connect: connection refused
4m40s       Warning   Unhealthy                      pod/statepool-worker-58585d67f7-btkfv               Readiness probe failed: Get "http://10.244.0.15:18118/ready": dial tcp 10.244.0.15:18118: connect: connection refused
4m27s       Normal    SuccessfulDelete               replicaset/statepool-worker-58585d67f7              Deleted pod: statepool-worker-58585d67f7-btkfv
