timestamp,memory_used_mib,utilization_gpu_percent,temperature_c,power_w
2026/08/08 12:39:11.596, 9198, 66, 50, 119.73
2026/08/08 12:39:12.621, 9198, 66, 50, 119.48
2026/08/08 12:39:13.643, 9198, 47, 48, 80.11
2026/08/08 12:39:14.667, 9198, 47, 48, 78.18
2026/08/08 12:39:15.690, 9198, 47, 48, 77.61
2026/08/08 12:39:16.714, 9198, 67, 50, 105.82
2026/08/08 12:39:17.735, 9198, 67, 50, 119.84
2026/08/08 12:39:18.758, 9198, 68, 50, 119.87
2026/08/08 12:39:19.782, 9198, 67, 50, 120.19
2026/08/08 12:39:20.803, 9198, 67, 50, 120.48
2026/08/08 12:39:21.826, 9198, 67, 50, 120.41
2026/08/08 12:39:22.849, 9198, 67, 50, 120.35
2026/08/08 12:39:23.874, 9198, 67, 50, 119.91
2026/08/08 12:39:24.897, 9198, 68, 51, 120.66
2026/08/08 12:39:25.919, 9198, 67, 51, 119.79
2026/08/08 12:39:26.941, 9198, 66, 50, 119.57
2026/08/08 12:39:27.965, 9198, 67, 51, 119.51
2026/08/08 12:39:28.990, 9198, 67, 51, 119.35
2026/08/08 12:39:30.016, 9198, 50, 49, 98.90
2026/08/08 12:39:31.041, 9198, 69, 51, 119.82
2026/08/08 12:39:32.065, 9198, 68, 51, 119.93
2026/08/08 12:39:33.086, 9198, 67, 51, 119.72
2026/08/08 12:39:34.111, 9198, 67, 51, 119.70
2026/08/08 12:39:35.134, 9198, 47, 48, 79.20
2026/08/08 12:39:36.157, 9198, 48, 48, 77.64
2026/08/08 12:39:37.178, 9198, 47, 48, 77.75
2026/08/08 12:39:38.202, 9198, 66, 50, 106.19
2026/08/08 12:39:39.225, 9198, 66, 50, 119.15
2026/08/08 12:39:40.247, 9198, 66, 50, 119.69
2026/08/08 12:39:41.270, 9198, 66, 50, 119.60
2026/08/08 12:39:42.294, 9198, 67, 50, 119.64
2026/08/08 12:39:43.318, 9198, 67, 51, 119.74
2026/08/08 12:39:44.342, 9198, 67, 51, 119.16
2026/08/08 12:39:45.364, 9198, 67, 51, 119.34
