timestamp,memory_used_mib,utilization_gpu_percent,temperature_c,power_w
2026/08/08 19:00:26.851, 14090, 99, 57, 189.66
2026/08/08 19:00:27.888, 14090, 99, 57, 189.83
2026/08/08 19:00:28.922, 14090, 99, 57, 190.03
2026/08/08 19:00:29.957, 14090, 99, 57, 189.85
2026/08/08 19:00:30.991, 14090, 99, 57, 189.58
2026/08/08 19:00:32.027, 14090, 99, 57, 189.67
2026/08/08 19:00:33.064, 14090, 99, 57, 189.64
2026/08/08 19:00:34.097, 14090, 99, 57, 189.39
2026/08/08 19:00:35.136, 14090, 99, 57, 187.62
2026/08/08 19:00:36.170, 14090, 99, 57, 189.96
2026/08/08 19:00:37.207, 14090, 99, 57, 189.97
2026/08/08 19:00:38.244, 14090, 99, 58, 190.04
2026/08/08 19:00:39.283, 14090, 99, 58, 190.01
2026/08/08 19:00:40.319, 14090, 99, 58, 190.21
2026/08/08 19:00:41.357, 14090, 99, 58, 190.13
2026/08/08 19:00:42.394, 14090, 99, 58, 190.12
2026/08/08 19:00:43.432, 14090, 99, 58, 190.24
2026/08/08 19:00:44.469, 14090, 99, 58, 190.24
2026/08/08 19:00:45.505, 14090, 99, 58, 190.23
2026/08/08 19:00:46.539, 14090, 99, 58, 190.25
2026/08/08 19:00:47.579, 14090, 99, 58, 190.41
2026/08/08 19:00:48.615, 14090, 99, 58, 190.27
2026/08/08 19:00:49.651, 14090, 99, 58, 190.04
2026/08/08 19:00:50.689, 14090, 99, 58, 190.13
2026/08/08 19:00:51.723, 14090, 99, 58, 188.65
2026/08/08 19:00:52.761, 14090, 99, 58, 192.85
2026/08/08 19:00:53.802, 14090, 99, 58, 190.43
2026/08/08 19:00:54.838, 14090, 99, 58, 190.44
2026/08/08 19:00:55.874, 14090, 99, 58, 190.29
2026/08/08 19:00:56.910, 14090, 99, 58, 190.32
2026/08/08 19:00:57.945, 14090, 99, 58, 190.36
2026/08/08 19:00:58.978, 14090, 99, 58, 190.50
2026/08/08 19:01:00.018, 14090, 99, 58, 190.24
2026/08/08 19:01:01.052, 14090, 99, 58, 190.31
2026/08/08 19:01:02.089, 14090, 99, 58, 190.74
2026/08/08 19:01:03.129, 14090, 99, 58, 190.57
2026/08/08 19:01:04.164, 14090, 99, 58, 190.44
2026/08/08 19:01:05.199, 14090, 99, 58, 190.58
2026/08/08 19:01:06.233, 14090, 99, 58, 190.55
2026/08/08 19:01:07.270, 14090, 99, 58, 190.51
2026/08/08 19:01:08.309, 14090, 99, 58, 190.52
2026/08/08 19:01:09.347, 14090, 99, 58, 191.11
2026/08/08 19:01:10.384, 14090, 99, 58, 190.60
2026/08/08 19:01:11.422, 14090, 99, 58, 190.52
2026/08/08 19:01:12.460, 14090, 99, 58, 190.53
2026/08/08 19:01:13.494, 14090, 99, 58, 190.45
2026/08/08 19:01:14.531, 14090, 99, 58, 190.72
2026/08/08 19:01:15.567, 14090, 99, 58, 190.62
2026/08/08 19:01:16.604, 14090, 99, 58, 190.61
2026/08/08 19:01:17.639, 14090, 99, 58, 190.51
2026/08/08 19:01:18.674, 14090, 99, 58, 190.52
2026/08/08 19:01:19.710, 14090, 99, 58, 190.42
2026/08/08 19:01:20.748, 14090, 99, 58, 190.46
2026/08/08 19:01:21.782, 14090, 99, 59, 190.22
2026/08/08 19:01:22.819, 14090, 99, 59, 190.36
2026/08/08 19:01:23.859, 14090, 99, 59, 190.26
2026/08/08 19:01:24.899, 14090, 99, 59, 190.32
2026/08/08 19:01:25.933, 14090, 99, 59, 189.92
2026/08/08 19:01:26.965, 14090, 99, 60, 201.76
2026/08/08 19:01:28.004, 14090, 98, 56, 193.10
2026/08/08 19:01:29.043, 14090, 99, 59, 200.40
2026/08/08 19:01:30.088, 14090, 99, 59, 200.54
2026/08/08 19:01:31.134, 14090, 100, 59, 201.08
2026/08/08 19:01:32.178, 14090, 100, 60, 201.01
2026/08/08 19:01:33.212, 14090, 100, 60, 201.61
2026/08/08 19:01:34.246, 14090, 99, 62, 201.19
2026/08/08 19:01:35.275, 14090, 97, 62, 201.37
2026/08/08 19:01:36.307, 14090, 99, 59, 196.02
2026/08/08 19:01:37.344, 14090, 99, 59, 195.70
2026/08/08 19:01:38.381, 14090, 97, 62, 199.81
2026/08/08 19:01:39.416, 14092, 99, 60, 196.66
2026/08/08 19:01:40.448, 14092, 99, 59, 194.38
2026/08/08 19:01:41.483, 14092, 99, 59, 191.09
2026/08/08 19:01:42.519, 14092, 99, 59, 190.68
2026/08/08 19:01:43.557, 14092, 99, 59, 190.79
2026/08/08 19:01:44.598, 14092, 99, 59, 191.02
2026/08/08 19:01:45.635, 14092, 99, 59, 190.67
2026/08/08 19:01:46.671, 14092, 99, 59, 190.67
2026/08/08 19:01:47.710, 14092, 99, 59, 190.41
2026/08/08 19:01:48.745, 14092, 99, 59, 190.69
2026/08/08 19:01:49.780, 14092, 99, 59, 190.60
2026/08/08 19:01:50.813, 14092, 99, 59, 190.74
2026/08/08 19:01:51.848, 14092, 99, 59, 190.47
2026/08/08 19:01:52.883, 14092, 99, 59, 190.31
2026/08/08 19:01:53.919, 14092, 99, 59, 190.52
2026/08/08 19:01:54.953, 14092, 99, 59, 190.40
2026/08/08 19:01:55.990, 14092, 99, 59, 190.55
2026/08/08 19:01:57.025, 14092, 99, 59, 189.35
2026/08/08 19:01:58.059, 14092, 99, 62, 197.90
2026/08/08 19:01:59.096, 14092, 100, 59, 190.98
2026/08/08 19:02:00.130, 14092, 99, 59, 190.95
2026/08/08 19:02:01.164, 14092, 99, 59, 190.67
2026/08/08 19:02:02.199, 14092, 99, 59, 190.71
2026/08/08 19:02:03.237, 14092, 99, 59, 190.57
2026/08/08 19:02:04.273, 14092, 99, 59, 190.42
2026/08/08 19:02:05.309, 14092, 99, 59, 190.51
2026/08/08 19:02:06.344, 14092, 99, 59, 190.39
2026/08/08 19:02:07.379, 14092, 99, 59, 190.29
2026/08/08 19:02:08.414, 14092, 99, 59, 190.27
2026/08/08 19:02:09.452, 14092, 99, 59, 190.02
2026/08/08 19:02:10.486, 14092, 99, 59, 190.09
2026/08/08 19:02:11.525, 14092, 99, 59, 190.08
2026/08/08 19:02:12.561, 14092, 99, 59, 190.10
2026/08/08 19:02:13.595, 14092, 99, 59, 190.04
2026/08/08 19:02:14.630, 14092, 99, 59, 190.01
2026/08/08 19:02:15.664, 14092, 96, 59, 197.77
2026/08/08 19:02:16.700, 14092, 99, 59, 190.35
2026/08/08 19:02:17.735, 14092, 99, 59, 190.49
2026/08/08 19:02:18.773, 14092, 99, 59, 190.40
2026/08/08 19:02:19.809, 14092, 99, 59, 190.44
2026/08/08 19:02:20.845, 14092, 99, 59, 190.28
2026/08/08 19:02:21.885, 14092, 99, 59, 190.22
2026/08/08 19:02:22.907, 14092, 99, 62, 197.40
2026/08/08 19:02:23.942, 14092, 99, 59, 190.67
2026/08/08 19:02:24.982, 14092, 99, 59, 190.60
2026/08/08 19:02:26.016, 14092, 99, 59, 190.55
2026/08/08 19:02:27.051, 14092, 99, 59, 190.36
2026/08/08 19:02:28.086, 14092, 99, 59, 190.13
2026/08/08 19:02:29.119, 14092, 99, 59, 188.49
2026/08/08 19:02:30.148, 14092, 99, 62, 199.27
2026/08/08 19:02:31.184, 14092, 99, 59, 190.66
2026/08/08 19:02:32.220, 14092, 99, 59, 190.46
2026/08/08 19:02:33.257, 14092, 99, 59, 190.58
2026/08/08 19:02:34.295, 14092, 99, 59, 190.50
2026/08/08 19:02:35.333, 14092, 99, 59, 190.82
2026/08/08 19:02:36.369, 14092, 73, 59, 188.57
2026/08/08 19:02:37.403, 14092, 99, 59, 190.84
2026/08/08 19:02:38.440, 14092, 99, 59, 190.64
2026/08/08 19:02:39.476, 14092, 99, 59, 190.34
2026/08/08 19:02:40.512, 14092, 99, 59, 190.44
2026/08/08 19:02:41.549, 14092, 99, 59, 190.58
2026/08/08 19:02:42.581, 14092, 99, 59, 190.75
2026/08/08 19:02:43.618, 14092, 99, 62, 198.87
2026/08/08 19:02:44.648, 14092, 99, 60, 201.45
2026/08/08 19:02:45.679, 14092, 99, 59, 193.50
2026/08/08 19:02:46.717, 14092, 99, 59, 190.81
2026/08/08 19:02:47.752, 14092, 99, 59, 190.67
2026/08/08 19:02:48.788, 14092, 99, 59, 190.58
2026/08/08 19:02:49.826, 14092, 99, 59, 190.79
2026/08/08 19:02:50.863, 14092, 99, 59, 190.58
2026/08/08 19:02:51.897, 14092, 99, 59, 190.42
2026/08/08 19:02:52.933, 14092, 99, 59, 190.49
2026/08/08 19:02:53.969, 14092, 99, 59, 190.58
2026/08/08 19:02:55.004, 14092, 99, 59, 190.30
2026/08/08 19:02:56.039, 14092, 99, 59, 190.24
2026/08/08 19:02:57.076, 14092, 99, 59, 190.35
2026/08/08 19:02:58.110, 14092, 99, 59, 190.20
2026/08/08 19:02:59.145, 14092, 99, 59, 190.15
2026/08/08 19:03:00.180, 14092, 99, 59, 190.15
2026/08/08 19:03:01.215, 14092, 99, 59, 190.14
2026/08/08 19:03:02.250, 14092, 99, 59, 190.66
2026/08/08 19:03:03.289, 14092, 99, 59, 190.91
2026/08/08 19:03:04.325, 14092, 99, 59, 190.65
2026/08/08 19:03:05.361, 14092, 99, 59, 190.34
2026/08/08 19:03:06.399, 14092, 99, 59, 190.34
2026/08/08 19:03:07.435, 14092, 99, 59, 190.21
2026/08/08 19:03:08.475, 14092, 99, 59, 190.16
2026/08/08 19:03:09.511, 14092, 99, 59, 190.26
2026/08/08 19:03:10.545, 14092, 99, 59, 190.37
2026/08/08 19:03:11.580, 14092, 99, 59, 190.39
2026/08/08 19:03:12.618, 14092, 99, 59, 190.43
2026/08/08 19:03:13.657, 14092, 99, 59, 190.57
2026/08/08 19:03:14.693, 14092, 99, 59, 190.23
2026/08/08 19:03:15.729, 14092, 99, 59, 190.17
2026/08/08 19:03:16.763, 14092, 99, 59, 189.87
2026/08/08 19:03:17.800, 14092, 99, 59, 189.80
2026/08/08 19:03:18.837, 14092, 100, 59, 190.61
2026/08/08 19:03:19.870, 14092, 99, 59, 190.71
2026/08/08 19:03:20.906, 14092, 99, 59, 190.55
2026/08/08 19:03:21.944, 14092, 99, 59, 190.58
2026/08/08 19:03:22.981, 14092, 99, 59, 190.75
2026/08/08 19:03:24.018, 14092, 99, 59, 190.71
2026/08/08 19:03:25.056, 14092, 99, 59, 190.62
2026/08/08 19:03:26.092, 14092, 99, 59, 190.56
2026/08/08 19:03:27.126, 14092, 99, 59, 190.69
2026/08/08 19:03:28.163, 14092, 99, 59, 190.62
2026/08/08 19:03:29.196, 14092, 99, 59, 190.71
2026/08/08 19:03:30.233, 14092, 99, 59, 190.40
2026/08/08 19:03:31.268, 14092, 99, 59, 190.35
2026/08/08 19:03:32.304, 14092, 99, 59, 190.50
2026/08/08 19:03:33.338, 14092, 99, 59, 190.40
2026/08/08 19:03:34.375, 14092, 99, 59, 190.44
2026/08/08 19:03:35.410, 14092, 99, 59, 190.10
2026/08/08 19:03:36.450, 14092, 0, 50, 75.92
2026/08/08 19:03:37.480, 14092, 0, 50, 62.34
2026/08/08 19:03:38.522, 14092, 0, 49, 40.21
2026/08/08 19:03:39.553, 14092, 0, 49, 39.95
2026/08/08 19:03:40.589, 14092, 0, 49, 39.79
2026/08/08 19:03:41.624, 14092, 0, 48, 39.70
2026/08/08 19:03:42.664, 14092, 0, 48, 39.69
2026/08/08 19:03:43.695, 14092, 0, 48, 39.47
2026/08/08 19:03:44.731, 14092, 0, 48, 39.31
2026/08/08 19:03:45.761, 14092, 0, 47, 39.14
2026/08/08 19:03:46.794, 14092, 0, 47, 38.82
2026/08/08 19:03:47.836, 14092, 0, 47, 38.83
2026/08/08 19:03:48.868, 14092, 0, 47, 38.90
2026/08/08 19:03:49.903, 14092, 0, 47, 38.57
2026/08/08 19:03:50.936, 14092, 0, 46, 38.44
2026/08/08 19:03:51.968, 14092, 0, 46, 38.55
2026/08/08 19:03:52.996, 14092, 0, 46, 38.66
2026/08/08 19:03:54.032, 14092, 0, 45, 25.09
2026/08/08 19:03:55.062, 14092, 0, 44, 8.90
2026/08/08 19:03:56.091, 14092, 0, 44, 6.07
2026/08/08 19:03:57.120, 14092, 0, 44, 5.73
2026/08/08 19:03:58.145, 14092, 0, 44, 5.70
2026/08/08 19:03:59.173, 14092, 0, 44, 5.69
2026/08/08 19:04:00.209, 14092, 0, 44, 5.56
2026/08/08 19:04:01.245, 14092, 0, 43, 5.63
2026/08/08 19:04:02.275, 14092, 0, 43, 5.71
2026/08/08 19:04:03.313, 14092, 0, 43, 5.70
2026/08/08 19:04:04.345, 14092, 0, 43, 5.71
2026/08/08 19:04:05.370, 14092, 0, 43, 5.75
2026/08/08 19:04:06.405, 14092, 0, 43, 5.78
2026/08/08 19:04:07.433, 14092, 0, 43, 5.73
2026/08/08 19:04:08.467, 14092, 0, 43, 5.67
2026/08/08 19:04:09.500, 14092, 0, 42, 5.65
2026/08/08 19:04:10.534, 14092, 0, 42, 5.64
2026/08/08 19:04:11.563, 14092, 0, 42, 5.62
2026/08/08 19:04:12.598, 14092, 0, 42, 5.58
2026/08/08 19:04:13.635, 14092, 0, 42, 5.54
2026/08/08 19:04:14.662, 14092, 0, 42, 5.52
2026/08/08 19:04:15.687, 14092, 0, 42, 5.52
2026/08/08 19:04:16.709, 14092, 0, 42, 5.52
2026/08/08 19:04:17.746, 14092, 0, 42, 5.51
2026/08/08 19:04:18.777, 14092, 0, 42, 5.50
2026/08/08 19:04:19.806, 14092, 0, 41, 5.48
2026/08/08 19:04:20.840, 14092, 0, 41, 5.22
2026/08/08 19:04:21.875, 14092, 0, 41, 4.94
2026/08/08 19:04:22.900, 14092, 0, 41, 4.91
2026/08/08 19:04:23.927, 14092, 0, 41, 4.88
2026/08/08 19:04:24.955, 14092, 0, 41, 4.88
2026/08/08 19:04:25.986, 14092, 0, 41, 4.89
2026/08/08 19:04:27.015, 14092, 0, 41, 4.89
2026/08/08 19:04:28.046, 14092, 0, 41, 4.87
2026/08/08 19:04:29.073, 14092, 0, 41, 4.87
2026/08/08 19:04:30.099, 14092, 0, 41, 4.87
2026/08/08 19:04:31.125, 14092, 0, 41, 4.87
2026/08/08 19:04:32.158, 14092, 0, 41, 4.89
2026/08/08 19:04:33.184, 14092, 0, 41, 4.89
2026/08/08 19:04:34.219, 14092, 0, 41, 4.88
2026/08/08 19:04:35.250, 14092, 0, 41, 4.89
2026/08/08 19:04:36.286, 14092, 0, 41, 4.92
2026/08/08 19:04:37.320, 14092, 0, 41, 4.91
2026/08/08 19:04:38.359, 14092, 0, 41, 4.90
