timestamp,memory_used_mib,utilization_gpu_percent
2026/08/08 08:22:19.736, 9076, 0
2026/08/08 08:22:20.773, 9076, 0
2026/08/08 08:22:21.803, 9076, 0
2026/08/08 08:22:22.840, 9076, 0
2026/08/08 08:22:23.873, 9076, 0
2026/08/08 08:22:24.922, 9076, 0
2026/08/08 08:22:25.949, 9076, 0
2026/08/08 08:22:26.981, 9076, 0
2026/08/08 08:22:28.012, 9076, 0
2026/08/08 08:22:29.041, 9076, 0
2026/08/08 08:22:30.071, 9076, 0
2026/08/08 08:22:31.108, 9076, 0
2026/08/08 08:22:32.153, 9076, 0
2026/08/08 08:22:33.183, 9076, 0
2026/08/08 08:22:34.215, 9076, 0
2026/08/08 08:22:35.257, 9076, 0
2026/08/08 08:22:36.296, 9076, 0
2026/08/08 08:22:37.336, 9076, 0
2026/08/08 08:22:38.372, 9076, 0
2026/08/08 08:22:39.403, 9076, 0
2026/08/08 08:22:40.441, 9076, 0
2026/08/08 08:22:41.472, 9076, 0
2026/08/08 08:22:42.501, 9076, 0
2026/08/08 08:22:43.535, 9076, 0
2026/08/08 08:22:44.565, 9076, 0
2026/08/08 08:22:45.595, 9076, 0
2026/08/08 08:22:46.636, 9076, 0
2026/08/08 08:22:47.668, 9076, 0
2026/08/08 08:22:48.697, 9076, 0
2026/08/08 08:22:49.733, 9076, 0
2026/08/08 08:22:50.765, 9076, 0
2026/08/08 08:22:51.792, 9076, 0
2026/08/08 08:22:52.824, 9076, 0
2026/08/08 08:22:53.862, 9076, 0
2026/08/08 08:22:54.894, 9076, 0
2026/08/08 08:22:55.928, 9076, 0
2026/08/08 08:22:56.965, 9076, 0
2026/08/08 08:22:58.005, 9076, 0
2026/08/08 08:22:59.040, 9076, 0
2026/08/08 08:23:00.070, 9076, 1
2026/08/08 08:23:01.098, 9076, 0
2026/08/08 08:23:02.129, 9076, 0
2026/08/08 08:23:03.169, 9076, 0
2026/08/08 08:23:04.202, 9076, 0
2026/08/08 08:23:05.238, 9076, 0
2026/08/08 08:23:06.266, 9076, 0
2026/08/08 08:23:07.296, 9076, 0
2026/08/08 08:23:08.329, 9076, 0
2026/08/08 08:23:09.369, 9076, 0
2026/08/08 08:23:10.402, 9076, 0
2026/08/08 08:23:11.431, 9076, 0
2026/08/08 08:23:12.467, 9076, 0
2026/08/08 08:23:13.506, 9076, 0
2026/08/08 08:23:14.538, 9076, 0
2026/08/08 08:23:15.570, 9076, 0
2026/08/08 08:23:16.605, 9076, 0
2026/08/08 08:23:17.632, 9076, 0
2026/08/08 08:23:18.666, 9076, 0
2026/08/08 08:23:19.707, 9076, 0
2026/08/08 08:23:20.740, 9076, 0
2026/08/08 08:23:21.772, 9076, 0
2026/08/08 08:23:22.810, 9076, 0
2026/08/08 08:23:23.842, 9076, 0
2026/08/08 08:23:24.883, 9076, 0
2026/08/08 08:23:25.912, 9076, 0
2026/08/08 08:23:26.941, 9076, 0
2026/08/08 08:23:27.967, 9076, 0
2026/08/08 08:23:29.003, 9076, 0
2026/08/08 08:23:30.033, 9076, 0
2026/08/08 08:23:31.073, 9076, 0
2026/08/08 08:23:32.114, 9076, 0
2026/08/08 08:23:33.147, 9076, 0
2026/08/08 08:23:34.180, 9076, 0
2026/08/08 08:23:35.215, 9076, 0
2026/08/08 08:23:36.254, 9076, 0
2026/08/08 08:23:37.294, 9076, 0
2026/08/08 08:23:38.345, 9076, 0
2026/08/08 08:23:39.380, 9076, 0
2026/08/08 08:23:40.422, 9076, 0
2026/08/08 08:23:41.456, 9076, 0
2026/08/08 08:23:42.491, 9076, 0
2026/08/08 08:23:43.517, 9076, 0
2026/08/08 08:23:44.549, 9076, 0
